*** TrackerPO PO General Search Export *** REPORT produced on: 2025-08-20 19:13:48 (GMT),,,,,,,,,,,,,
*** Search Selection:  Where ICS_TrackerPO_POMain.JobNo like '5772%',,,,,,,,,,,,,,
Job No.,PO Number,Generation Date,Requestor,Sub Cost Code,Def. Contr./Extra,Vendor,WO/PMO,Cost Center,Sub CC,SubSub CC,Est. PO Value,PO Status, PO Comments,Invoice/Ticket,Inv. Date,Contract/Extra,Line Item Value,FTO Sent Date,FTO Ret. Date, BB Date,Material Description,Comments,
5772,5772.1003 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"DNOW","",3000,0000,,45690.91,Active,"Dow Beaumont Aniline - Quotation 24566944",917553254,2025-05-19,Contract,158.74,0000-00-00,2025-05-21,0000-00-00,"","",
5772,5772.1004 (Active),2025-03-28,"Fleming, Katelynn",0000,Contract,"Sunbelt Supply Company","",3000,0000,,156.00,Active,"Dow Beaumont Aniline - Quote #: Q-16745",3560171-00,2025-05-01,Contract,156.00,0000-00-00,2025-05-05,0000-00-00,"","",
5772,5772.1005 (Active),2025-03-31,"Fleming, Katelynn",0000,Contract,"Brock","",4000,0000,,21095.70,Active,"Dow Beaumont Aniline Shop Paint - Brock Proposal #: CRM # BSL026277 (REV2)",28052364,2025-06-30,Contract,17475.40,0000-00-00,2025-07-08,0000-00-00,"","",
5772,5772.1005 (Active),2025-03-31,"Fleming, Katelynn",0000,Contract,"Brock","",4000,0000,,21095.70,Active,"Dow Beaumont Aniline Shop Paint - Brock Proposal #: CRM # BSL026277 (REV2)",28054104,2025-07-29,Contract,4966.01,0000-00-00,2025-08-05,0000-00-00,"","",
5772,5772.1005 (Active),2025-03-31,"Fleming, Katelynn",0000,Contract,"Brock","",4000,0000,,21095.70,Active,"Dow Beaumont Aniline Shop Paint - Brock Proposal #: CRM # BSL026277 (REV2)",28055157,2025-08-18,Contract,26375.32,--,2025-08-19,0000-00-00,"","",
5772,5772.1005 (Active),2025-03-31,"Fleming, Katelynn",0000,Contract,"Brock","",4000,0000,,21095.70,Active,"Dow Beaumont Aniline Shop Paint - Brock Proposal #: CRM # BSL026277 (REV2)",VOID (28052364),2025-06-30,Contract,17475.40,--,2025-07-01,0000-00-00,"VOID PER PAIGE FITTS 7/7","VOID PER PAIGE FITTS 7/7",
5772,5772.1006 (Active),2025-04-02,"Fleming, Katelynn",5005,Overhead,"J&M Wrecker","",5000,5005,,275.00,Active,"Dow Beaumont Aniline ***Non-Reimbursable*** - Delivery - 20' Conex from Shintech to ICS Yard",125656,2025-05-06,Overhead,273.23,0000-00-00,2025-05-06,0000-00-00,"","",
5772,5772.1007 (VOID),2025-04-07,"Fleming, Katelynn",0000,Contract,"Brock","",4000,0000,,20425.03,VOID,"Dow Beaumont Aniline Field Paint - Brock Proposal #: CRM # BSL026277 - Rev.1 PO Increase by 2151.65 - Invoiced on 5772.1005",,,,,,,,"","",
5772,5772.1008 (Active),2025-04-08,"King, Shawn",0000,Contract,"NDIC","",4000,0000,,100.00,Active,"Beaumont - XRay's",119912,2025-04-14,Contract,2304.83,0000-00-00,2025-04-16,0000-00-00,"","",
5772,5772.1008 (Active),2025-04-08,"King, Shawn",0000,Contract,"NDIC","",4000,0000,,100.00,Active,"Beaumont - XRay's",119978,2025-04-28,Contract,1504.22,0000-00-00,2025-04-29,0000-00-00,"","",
5772,5772.1008 (Active),2025-04-08,"King, Shawn",0000,Contract,"NDIC","",4000,0000,,100.00,Active,"Beaumont - XRay's",120015,2025-05-05,Contract,2860.60,0000-00-00,2025-05-06,0000-00-00,"","",
5772,5772.1008 (Active),2025-04-08,"King, Shawn",0000,Contract,"NDIC","",4000,0000,,100.00,Active,"Beaumont - XRay's",120032,2025-05-12,Contract,5833.64,0000-00-00,2025-05-12,0000-00-00,"","",
5772,5772.1008 (Active),2025-04-08,"King, Shawn",0000,Contract,"NDIC","",4000,0000,,100.00,Active,"Beaumont - XRay's",120066,2025-05-19,Contract,921.28,0000-00-00,2025-05-20,0000-00-00,"","",
5772,5772.1009 (Active),2025-04-09,"Schippert, Jonathan",0000,Contract,"Gas & Supply","",5000,0000,,100.00,Active,"Beaumont - Wire, Disc, lense - ",392824,2025-04-14,Contract,843.06,0000-00-00,2025-04-14,0000-00-00,"","",
5772,5772.1010 (Active),2025-04-09,"Schippert, Jonathan",0000,Contract,"Lake Hardware","",5000,0000,,96.96,Active,"Beaumont - Email Quote",495755,2025-04-09,Contract,96.96,0000-00-00,2025-04-14,0000-00-00,"","",
5772,5772.1011 (Active),2025-04-11,"Fleming, Katelynn",0000,Contract,"Hanger & Pipe Accessories","",3000,0000,,22837.25,Active,"Dow Beaumont Aniline - Quote 1 and Quote 2 Rev. 1",125094,2025-05-29,Contract,8285.50,0000-00-00,2025-06-04,0000-00-00,"","",
5772,5772.1011 (Active),2025-04-11,"Fleming, Katelynn",0000,Contract,"Hanger & Pipe Accessories","",3000,0000,,22837.25,Active,"Dow Beaumont Aniline - Quote 1 and Quote 2 Rev. 1",125094-1,2025-06-10,Contract,2698.75,0000-00-00,2025-06-11,0000-00-00,"","",
5772,5772.1011 (Active),2025-04-11,"Fleming, Katelynn",0000,Contract,"Hanger & Pipe Accessories","",3000,0000,,22837.25,Active,"Dow Beaumont Aniline - Quote 1 and Quote 2 Rev. 1",125101,2025-06-23,Contract,12123.00,0000-00-00,2025-06-23,0000-00-00,"","",
5772,5772.1012 (Active),2025-04-21,"Schippert, Jonathan",0000,Contract,"DNOW","",5000,0000,,314.39,Active,"Beaumont - Quotation 24576740 ZPB",917519386,2025-04-24,Contract,314.39,0000-00-00,2025-04-29,0000-00-00,"","",
5772,5772.1013 (Active),2025-04-21,"Schippert, Jonathan",0000,Contract,"Gas & Supply","",5000,0000,,100.00,Active,"Beaumont - ",39306414,2025-04-28,Contract,507.20,0000-00-00,2025-04-29,0000-00-00,"","",
5772,5772.1014 (Active),2025-04-22,"Fitts, Paige",5005,Overhead,"Gas & Supply","",5000,5005,,725.50,Active,"Dow Beaumont Aniline ***Non-Reimbursable***",39306526,2025-04-28,Overhead,725.50,0000-00-00,2025-04-29,0000-00-00,"","",
5772,5772.1014 (Active),2025-04-22,"Fitts, Paige",5005,Overhead,"Gas & Supply","",5000,5005,,725.50,Active,"Dow Beaumont Aniline ***Non-Reimbursable***",39356314,2025-05-16,Overhead,-250.00,0000-00-00,2025-05-19,0000-00-00,"","",
5772,5772.1014 (Active),2025-04-22,"Fitts, Paige",5005,Overhead,"Gas & Supply","",5000,5005,,725.50,Active,"Dow Beaumont Aniline ***Non-Reimbursable***",39364345,2025-05-22,Overhead,1160.00,--,2025-05-27,0000-00-00,"","",
5772,5772.1015 (Active),2025-04-25,"Schippert, Jonathan",0000,Contract,"Mejia","",3000,0000,,100.00,Active,"Beaumont - ",132683,2025-04-28,Contract,150.00,0000-00-00,2025-04-29,0000-00-00,"","",
5772,5772.1016 (Active),2025-04-28,"Fleming, Katelynn",0000,Contract,"Brazos Fasteners","",3000,0000,,3618.08,Active,"Dow Beaumont Aniline - QUOTE NO. 484718",484718,2025-05-07,Contract,3616.08,0000-00-00,2025-05-08,0000-00-00,"","",
5772,5772.1017 (Active),2025-04-28,"Fleming, Katelynn",0000,Contract,"Lamons","",3000,0000,,3187.36,Active,"Dow Beaumont Aniline - Estimate 4730027686 - Order Number: F000540831",IF0000125211,2025-05-07,Contract,3016.36,0000-00-00,2025-05-08,0000-00-00,"","",
5772,5772.1017 (Active),2025-04-28,"Fleming, Katelynn",0000,Contract,"Lamons","",3000,0000,,3187.36,Active,"Dow Beaumont Aniline - Estimate 4730027686 - Order Number: F000540831",IF0000125843,2025-05-23,Contract,171.00,0000-00-00,2025-05-27,0000-00-00,"","",
5772,5772.1018 (Active),2025-04-28,"Fleming, Katelynn",0000,Contract,"Brazoria Valve & Fitting","",3000,0000,,4061.92,Active,"Dow Beaumont Aniline - Sales Quote No: 171333 Valves only. - Order Confirmation No: 273732",413988,2025-05-15,Contract,4061.92,0000-00-00,2025-05-19,0000-00-00,"","",
5772,5772.1019 (Active),2025-05-01,"Fleming, Katelynn",5005,Overhead,"J&M Wrecker","",5000,5005,,1200.00,Active,"Dow Beaumont Aniline ***Non-Reimbursable*** - Delivery on 5/12/25 - 20' Conex from ICS Yard in Oyster Creek to Dow Beaumont",126066,2025-06-04,Overhead,1146.60,0000-00-00,2025-06-04,0000-00-00,"","",
5772,5772.1020 (Active),2025-05-01,"Fleming, Katelynn",0000,Contract,"Herc Rental","",2000,0000,,6816.84,Active,"Dow Beaumont Aniline TRUCK PICKUP 1/2 T CREW 4WD GAS - 4 Month Rental - MOVE FROM PO 5601.1039 TO NEW PO 5772.1020",32705660-044,2025-05-22,Contract,1485.00,0000-00-00,2025-05-27,0000-00-00,"","",
5772,5772.1020 (Active),2025-05-01,"Fleming, Katelynn",0000,Contract,"Herc Rental","",2000,0000,,6816.84,Active,"Dow Beaumont Aniline TRUCK PICKUP 1/2 T CREW 4WD GAS - 4 Month Rental - MOVE FROM PO 5601.1039 TO NEW PO 5772.1020",32705660-045,2025-06-19,Contract,1485.00,0000-00-00,2025-06-23,0000-00-00,"","",
5772,5772.1020 (Active),2025-05-01,"Fleming, Katelynn",0000,Contract,"Herc Rental","",2000,0000,,6816.84,Active,"Dow Beaumont Aniline TRUCK PICKUP 1/2 T CREW 4WD GAS - 4 Month Rental - MOVE FROM PO 5601.1039 TO NEW PO 5772.1020",32705660-046,2025-07-17,Contract,1485.00,0000-00-00,2025-07-23,0000-00-00,"","",
5772,5772.1020 (Active),2025-05-01,"Fleming, Katelynn",0000,Contract,"Herc Rental","",2000,0000,,6816.84,Active,"Dow Beaumont Aniline TRUCK PICKUP 1/2 T CREW 4WD GAS - 4 Month Rental - MOVE FROM PO 5601.1039 TO NEW PO 5772.1020",32705660-047,2025-08-14,Contract,1485.00,0000-00-00,2025-08-18,0000-00-00,"","",
5772,5772.1021 (Active),2025-05-02,"Fleming, Katelynn",0000,Contract,"Equipment Share","",2000,0000,,8003.82,Active,"Dow Beaumont Aniline (1) 80' Man lift (1) 19' Scissor lift (1) 8K Reach FL - Quote # 569971",5330791-000,2025-06-06,Contract,426.58,0000-00-00,2025-06-10,0000-00-00,"","",
5772,5772.1021 (Active),2025-05-02,"Fleming, Katelynn",0000,Contract,"Equipment Share","",2000,0000,,8003.82,Active,"Dow Beaumont Aniline (1) 80' Man lift (1) 19' Scissor lift (1) 8K Reach FL - Quote # 569971",BPT-5193219-0000,2025-05-22,Contract,7830.62,0000-00-00,2025-05-27,0000-00-00,"","",
5772,5772.1021 (Active),2025-05-02,"Fleming, Katelynn",0000,Contract,"Equipment Share","",2000,0000,,8003.82,Active,"Dow Beaumont Aniline (1) 80' Man lift (1) 19' Scissor lift (1) 8K Reach FL - Quote # 569971",BPT-5193219-0001,2025-06-18,Contract,7179.11,--,2025-06-24,0000-00-00,"","",
5772,5772.1021 (Active),2025-05-02,"Fleming, Katelynn",0000,Contract,"Equipment Share","",2000,0000,,8003.82,Active,"Dow Beaumont Aniline (1) 80' Man lift (1) 19' Scissor lift (1) 8K Reach FL - Quote # 569971",BPT-5193219-0002,2025-06-20,Contract,478.31,--,2025-06-30,0000-00-00,"","",
5772,5772.1021 (Active),2025-05-02,"Fleming, Katelynn",0000,Contract,"Equipment Share","",2000,0000,,8003.82,Active,"Dow Beaumont Aniline (1) 80' Man lift (1) 19' Scissor lift (1) 8K Reach FL - Quote # 569971",BPT-5193219-0003,2025-07-21,Contract,7179.11,0000-00-00,2025-07-28,0000-00-00,"","",
5772,5772.1021 (Active),2025-05-02,"Fleming, Katelynn",0000,Contract,"Equipment Share","",2000,0000,,8003.82,Active,"Dow Beaumont Aniline (1) 80' Man lift (1) 19' Scissor lift (1) 8K Reach FL - Quote # 569971",BPT-5193219-0004,2025-08-18,Contract,7179.11,0000-00-00,2025-08-20,0000-00-00,"","",
5772,5772.1022 (Active),2025-05-02,"Schippert, Jonathan",0000,Contract,"Gas & Supply","",5000,0000,,100.00,Active,"Beaumont - Wire, brushes - ",39343890,2025-05-09,Contract,326.40,0000-00-00,2025-05-12,0000-00-00,"","",
5772,5772.1023 (Active),2025-05-05,"Schippert, Jonathan",0000,Contract,"Ferguson","",5000,0000,,100.00,Active,"Beaumont - ",7310299,2025-05-06,Contract,297.00,0000-00-00,2025-05-12,0000-00-00,"","",
5772,5772.1024 (Active),2025-05-06,"Fleming, Katelynn",5005,Overhead,"Evco","",5000,5005,,5423.03,Active,"Dow Beaumont Aniline - ESTIMATE:4105",656296,2025-05-06,Overhead,5423.03,0000-00-00,2025-05-06,0000-00-00,"","",
5772,5772.1025 (Active),2025-05-06,"Fleming, Katelynn",0000,Contract,"Tri-Construction Company, Inc.","",3000,0000,,660.00,Active,"Dow Beaumont Aniline",796 1000,2025-05-08,Contract,660.00,0000-00-00,2025-05-08,0000-00-00,"","",
5772,5772.1026 (Active),2025-05-06,"Fleming, Katelynn",0000,Contract,"Scott-Macon","",2000,0000,,34663.55,Active,"Dow Beaumont Aniline (1) 120 TON TADANO GR-1200XL - MOVE FROM PO 5640.1096 TO NEW PO 5772.1026",RC1011772-15,2025-05-13,Contract,18139.03,0000-00-00,2025-05-13,0000-00-00,"","",
5772,5772.1026 (Active),2025-05-06,"Fleming, Katelynn",0000,Contract,"Scott-Macon","",2000,0000,,34663.55,Active,"Dow Beaumont Aniline (1) 120 TON TADANO GR-1200XL - MOVE FROM PO 5640.1096 TO NEW PO 5772.1026",RC1011772-16,2025-06-03,Contract,18139.03,0000-00-00,2025-06-04,0000-00-00,"","",
5772,5772.1026 (Active),2025-05-06,"Fleming, Katelynn",0000,Contract,"Scott-Macon","",2000,0000,,34663.55,Active,"Dow Beaumont Aniline (1) 120 TON TADANO GR-1200XL - MOVE FROM PO 5640.1096 TO NEW PO 5772.1026",RC1011772-17,2025-07-07,Contract,18139.03,0000-00-00,2025-07-08,0000-00-00,"","",
5772,5772.1026 (Active),2025-05-06,"Fleming, Katelynn",0000,Contract,"Scott-Macon","",2000,0000,,34663.55,Active,"Dow Beaumont Aniline (1) 120 TON TADANO GR-1200XL - MOVE FROM PO 5640.1096 TO NEW PO 5772.1026",RC1011772-18,2025-08-14,Contract,10105.72,0000-00-00,2025-08-14,0000-00-00,"","",
5772,5772.1027 (Active),2025-05-07,"Fleming, Katelynn",0000,Contract,"Brazos Fasteners","",3000,0000,,144.40,Active,"Dow Beaumont Aniline - QUOTE NO. 485623",485623,2025-05-07,Contract,144.40,0000-00-00,2025-05-08,0000-00-00,"","",
5772,5772.1028 (Active),2025-05-08,"Fleming, Katelynn",5005,Overhead,"Evco","",5000,5005,,66.80,Active,"Dow Beaumont Aniline ***Non-Reimbursable***",656357,2025-05-08,Overhead,66.80,0000-00-00,2025-05-08,0000-00-00,"","",
5772,5772.1029 (Active),2025-05-08,"Fleming, Katelynn",5005,Overhead,"Evco","",5000,5005,,337.21,Active,"Dow Beaumont Aniline ***Non-Reimbursable***",656375,2025-05-08,Overhead,337.21,0000-00-00,2025-05-12,0000-00-00,"","",
5772,5772.1029 (Active),2025-05-08,"Fleming, Katelynn",5005,Overhead,"Evco","",5000,5005,,337.21,Active,"Dow Beaumont Aniline ***Non-Reimbursable***",656376,2025-05-08,Overhead,46.85,0000-00-00,2025-05-12,0000-00-00,"","",
5772,5772.1029 (Active),2025-05-08,"Fleming, Katelynn",5005,Overhead,"Evco","",5000,5005,,337.21,Active,"Dow Beaumont Aniline ***Non-Reimbursable***",656377,2025-05-08,Overhead,-29.83,0000-00-00,2025-05-12,0000-00-00,"","",
5772,5772.1030 (Active),2025-05-12,"Schippert, Jonathan",0000,Contract,"Ferguson","",3000,0000,,25.00,Active,"Beaumont - SS Fitting - Order 7314725",7314725,2025-05-15,Contract,50.00,0000-00-00,2025-05-20,0000-00-00,"","",
5772,5772.1031 (Active),2025-05-13,"Fleming, Katelynn",5005,Overhead,"Evco","",5000,5005,,167.05,Active,"Dow Beaumont Aniline ***Non-Reimbursable***",656445,2025-05-13,Overhead,167.05,0000-00-00,2025-05-13,0000-00-00,"","",
5772,5772.1032 (Active),2025-05-14,"Fleming, Katelynn",0000,Contract,"Ritter Forest Products","",2000,0000,,1330.00,Active,"Dow Beaumont Aniline (6) 8X16 LAMINATED MATS W/CABLE",217109,2025-06-05,Contract,681.98,0000-00-00,2025-06-09,0000-00-00,"","",
5772,5772.1032 (Active),2025-05-14,"Fleming, Katelynn",0000,Contract,"Ritter Forest Products","",2000,0000,,1330.00,Active,"Dow Beaumont Aniline (6) 8X16 LAMINATED MATS W/CABLE",247816,2025-07-03,Contract,681.98,0000-00-00,2025-07-07,0000-00-00,"","",
5772,5772.1032 (Active),2025-05-14,"Fleming, Katelynn",0000,Contract,"Ritter Forest Products","",2000,0000,,1330.00,Active,"Dow Beaumont Aniline (6) 8X16 LAMINATED MATS W/CABLE",2505-537092,2025-05-16,Contract,378.88,0000-00-00,2025-05-19,0000-00-00,"","",
5772,5772.1032 (Active),2025-05-14,"Fleming, Katelynn",0000,Contract,"Ritter Forest Products","",2000,0000,,1330.00,Active,"Dow Beaumont Aniline (6) 8X16 LAMINATED MATS W/CABLE",276130,2025-07-31,Contract,681.98,0000-00-00,2025-08-04,0000-00-00,"","",
5772,5772.1032 (Active),2025-05-14,"Fleming, Katelynn",0000,Contract,"Ritter Forest Products","",2000,0000,,1330.00,Active,"Dow Beaumont Aniline (6) 8X16 LAMINATED MATS W/CABLE",289058,2025-08-12,Contract,606.20,--,2025-08-12,0000-00-00,"","",
5772,5772.1033 (VOID),2025-05-14,"Fleming, Katelynn",0000,Contract,"Misc. Vendor","",2000,0000,,705.00,VOID,"VOID 5.21.25 Beaumont - Radio Rent - BEARCOM - 1Mth - ***AmEx***",VOID,0000-00-00,,0.00,0000-00-00,2025-05-21,2025-05-21,"VOID","VOIDed because: ",
5772,5772.1034 (Active),2025-05-15,"Fleming, Katelynn",5005,Overhead,"Evco","",5000,5005,,452.12,Active,"Dow Beaumont Aniline ***Non-Reimbursable***",656531,2025-05-15,Overhead,452.12,0000-00-00,2025-05-19,0000-00-00,"","",
5772,5772.1035 (Active),2025-05-15,"Fleming, Katelynn",0000,Contract,"Wholesale Electric","",3000,0000,,1117.50,Active,"Dow Beaumont Aniline - CPP516 - Ticket #: 12622977",0071-12622977,2025-05-16,Contract,1117.50,0000-00-00,2025-05-19,0000-00-00,"","",
5772,5772.1036 (Active),2025-05-16,"Fleming, Katelynn",0000,Overhead,"Evco","",5000,0000,,2422.93,Active,"Dow Beaumont Aniline ***Non-Reimbursable***",656557,2025-05-16,Overhead,2422.93,0000-00-00,2025-05-19,0000-00-00,"","",
5772,5772.1037 (Active),2025-05-19,"Fleming, Katelynn",0000,Contract,"Brazos Fasteners","",3000,0000,,18.00,Active,"Dow Beaumont Aniline - QUOTE NO. 486430",486430,2025-05-20,Contract,166.50,0000-00-00,2025-05-20,0000-00-00,"","",
5772,5772.1038 (Active),2025-05-19,"Schippert, Jonathan",0000,Contract,"Ferguson","",5000,0000,,151.70,Active,"Beaumount - Order 7319281 - ***NR***",7319281,2025-05-21,Contract,151.70,--,2025-05-21,0000-00-00,"","",
5772,5772.1039 (Active),2025-05-20,"Fleming, Katelynn",5005,Overhead,"Evco","",5000,5005,,78.51,Active,"Dow Beaumont Aniline ***Non-Reimbursable***",656624,2025-05-20,Overhead,78.51,0000-00-00,2025-05-20,0000-00-00,"","",
5772,5772.1040 (Active),2025-05-21,"Fleming, Katelynn",0000,Contract,"Lamons","",3000,0000,,79.53,Active,"Dow Beaumont Aniline - Estimate 4730028214",IF0000125867,2025-05-23,Contract,79.53,0000-00-00,2025-05-27,0000-00-00,"","",
5772,5772.1041 (Active),2025-05-22,"Schippert, Jonathan",0000,Contract,"Ferguson","",5000,0000,,18.00,Active,"Beaumont - Ftg - Order 7322009 ***NR***",7322009,2025-05-22,Contract,18.00,0000-00-00,2025-06-04,0000-00-00,"","",
5772,5772.1042 (Active),2025-05-27,"Fleming, Katelynn",0000,Contract,"Mejia","",3000,0000,,400.00,Active,"Dow Beaumont Aniline - Quote Number: #10620",133141,2025-05-27,Contract,400.00,0000-00-00,2025-05-27,0000-00-00,"","",
5772,5772.1043 (Active),2025-05-27,"Fleming, Katelynn",5005,Overhead,"Evco","",5000,5005,,335.77,Active,"Dow Beaumont Aniline ***Non-Reimbursable***",656712,2025-05-27,Overhead,335.77,0000-00-00,2025-05-27,0000-00-00,"","",
5772,5772.1044 (Active),2025-05-27,"Fleming, Katelynn",0000,Contract,"Brazos Fasteners","",3000,0000,,69.60,Active,"Dow Beaumont Aniline - QUOTE NO. 486864",486864,2025-05-27,Contract,69.60,0000-00-00,2025-05-28,0000-00-00,"","",
5772,5772.1045 (Active),2025-05-28,"Fleming, Katelynn",0000,Contract,"Wolseley Industrial Group","",3000,0000,,117.58,Active,"Dow Beaumont Aniline - Order No: 7324430",7324430,2025-05-30,Contract,117.58,0000-00-00,2025-06-03,0000-00-00,"","",
5772,5772.1046 (Active),2025-05-28,"Fleming, Katelynn",0000,Contract,"Brazos Fasteners","",3000,0000,,8167.08,Active,"Dow Beaumont Aniline - QUOTE NO. 486631",486631,2025-06-19,Contract,8167.08,0000-00-00,2025-06-23,0000-00-00,"","",
5772,5772.1047 (Active),2025-05-29,"Fleming, Katelynn",0000,Contract,"Brazos Fasteners","",3000,0000,,190.04,Active,"Dow Beaumont Aniline - QUOTE NO. 487105 - Rev. 1 add ORDER NO. 487166",487105,2025-06-30,Contract,351.82,0000-00-00,2025-06-03,0000-00-00,"","",
